id,dim1,dim2,cid
49,3.0331,7.9156,2
74,3.019,8.0849,2
151,3.8269,8.5119,2
152,3.6466,9.6658,2
153,3.5646,8.2318,2
154,3.9648,7.9713,2
155,4.1001,9.142,2
156,3.9085,8.0268,2
157,3.6836,9.4301,2
158,3.3332,8.9874,2
159,3.8381,7.1385,2
160,3.9603,7.8632,2
161,3.7487,9.2294,2
162,3.7389,8.6198,2
163,3.9839,8.0707,2
164,3.7411,8.5094,2
165,3.7567,9.4553,2
166,3.8151,7.7715,2
167,4.1777,8.8121,2
168,3.8343,8.6491,2
169,3.8882,7.8426,2
170,3.6474,7.5888,2
171,4.0124,7.731,2
172,4.2381,8.705,2
173,3.6997,9.3655,2
174,3.6981,8.652,2
175,3.8636,8.8238,2
176,3.8635,7.5849,2
177,3.8372,9.778,2
178,4.0667,9.3119,2
179,3.9468,8.5188,2
180,4.0107,8.8463,2
181,3.7101,10.08,2
182,3.4816,10.1863,2
183,4.0905,7.8985,2
184,3.5831,8.8868,2
185,3.8107,9.5629,2
186,3.7121,10.5411,2
187,3.7986,8.2594,2
188,3.7142,9.2885,2
189,4.1371,9.4264,2
190,3.9485,8.2409,2
191,3.8426,8.9029,2
192,4.1539,8.2282,2
193,3.4636,9.4779,2
194,3.8723,7.981,2
195,3.7048,9.5019,2
196,3.7422,9.6754,2
197,4.1358,9.7151,2
198,3.6515,7.872,2
199,3.4983,8.8497,2
200,3.6867,7.1469,2
201,3.9512,8.3097,2
202,3.7181,8.5532,2
203,3.8471,9.3882,2
204,3.7094,8.6572,2
205,3.5941,9.0483,2
206,3.8714,9.1456,2
207,3.8855,8.4739,2
208,3.7744,8.3726,2
209,3.4094,9.0921,2
210,3.7905,9.2914,2
211,3.6012,8.9731,2
212,3.8946,9.3166,2
213,4.0074,8.709,2
214,3.7573,8.4119,2
215,3.6293,8.0472,2
216,4.0167,8.7009,2
217,3.4192,8.3178,2
218,4.3386,8.3503,2
219,3.7099,8.0933,2
220,3.6262,7.9572,2
221,4.0156,7.7637,2
222,3.4988,7.6269,2
223,3.6991,7.6416,2
224,3.4715,7.9449,2
225,3.9523,8.9627,2
226,4.148,10.3708,2
227,3.2622,8.2211,2
228,3.7462,9.8838,2
229,4.1728,8.2573,2
230,4.2379,8.5077,2
231,3.9868,8.1102,2
232,4.3212,8.7925,2
233,3.868,8.9806,2
234,4.1102,10.0369,2
235,3.954,8.5578,2
236,4.0519,8.5603,2
237,4.5164,7.9947,2
238,4.5902,9.2322,2
239,3.8578,8.2969,2
240,4.207,7.2557,2
241,4.0677,8.6393,2
242,4.0248,9.4236,2
243,3.7567,7.3182,2
244,4.0914,7.8001,2
245,4.1549,10.1641,2
246,3.7021,7.665,2
247,3.8462,9.5316,2
248,4.4034,7.0982,2
249,4.0478,8.9238,2
250,4.4487,8.1055,2
251,3.6345,9.1857,2
252,3.9289,8.4737,2
253,3.961,8.0325,2
254,4.2311,8.7249,2
255,3.756,8.0684,2
256,4.2308,8.448,2
257,4.0974,8.3769,2
258,4.0008,8.1607,2
259,4.2699,9.5232,2
260,4.7067,8.7523,2
261,4.2821,9.5736,2
262,4.0634,8.8294,2
263,4.6369,8.8251,2
264,4.3501,8.8033,2
265,3.5999,8.4933,2
266,4.1743,8.7384,2
267,4.1137,8.3904,2
268,3.59,8.7262,2
269,4.0897,9.1112,2
270,3.953,8.4421,2
271,3.8988,8.4267,2
272,4.8197,7.3123,2
273,4.0587,8.9532,2
274,4.2067,8.5799,2
275,3.2325,8.9999,2
276,4.2817,8.7517,2
277,3.9772,9.1909,2
278,3.7931,8.4355,2
279,3.6292,9.4031,2
280,4.0193,9.5512,2
281,3.4184,8.5981,2
282,3.9602,7.7645,2
283,3.9027,8.8446,2
284,4.1248,8.4392,2
285,3.7571,8.7125,2
286,5.0462,8.3887,2
287,4.2582,8.9756,2
288,4.4131,8.4114,2
289,3.8622,8.7967,2
290,3.9436,7.1758,2
291,3.4064,8.7509,2
292,3.9053,7.7384,2
293,4.2335,8.8016,2
294,4.5283,8.6544,2
295,3.9144,7.7055,2
296,3.8066,8.69,2
297,4.0403,9.8557,2
298,3.8785,9.3454,2
299,3.81,8.0749,2
300,3.7837,9.605,2
