id,dim1,dim2,cid
1,2.5768,9.0618,2
2,2.3579,6.9804,2
3,2.6763,10.0365,2
4,2.0836,8.953,2
5,2.3881,9.8873,2
6,2.399,8.8879,2
7,2.6412,8.0403,2
8,2.4506,8.485,2
9,2.4379,9.3027,2
10,2.5088,8.5573,2
11,2.2027,8.9585,2
12,2.4997,7.5445,2
13,2.4903,8.2466,2
14,2.572,10.07,2
15,2.537,9.4809,2
16,2.7217,8.6849,2
17,2.353,9.374,2
18,2.4251,8.594,2
19,2.9381,9.1101,2
20,2.5654,9.955,2
21,2.885,8.3289,2
22,2.8757,9.2987,2
23,2.7021,7.3124,2
24,2.3661,8.4641,2
25,2.5327,8.685,2
26,2.5697,9.7412,2
27,2.116,9.5041,2
28,2.563,9.6613,2
29,2.3767,9.9083,2
30,2.3958,8.8109,2
31,2.9981,8.2722,2
32,2.8723,9.0407,2
33,2.2675,9.4834,2
34,2.3432,7.7247,2
35,2.4442,7.6393,2
36,2.5689,7.9858,2
37,2.6088,8.2216,2
38,2.3737,8.5179,2
39,2.3327,8.6005,2
40,2.3841,8.8339,2
41,2.6106,9.627,2
42,2.7396,8.5775,2
43,2.2242,7.9284,2
44,2.4974,9.7596,2
45,2.3301,7.6976,2
46,2.7503,9.1776,2
47,2.1665,9.1623,2
48,2.4354,9.8055,2
50,2.8619,7.7786,2
51,2.2834,9.6945,2
52,2.2432,10.0873,2
53,2.2299,8.5547,2
54,2.1684,8.0477,2
55,2.3858,7.9722,2
56,2.1546,7.9745,2
57,2.4697,8.2451,2
58,2.5196,8.7246,2
59,2.8111,8.1889,2
60,2.4559,10.0163,2
61,2.2919,8.113,2
62,2.4668,8.3854,2
63,2.6209,8.8233,2
64,2.0479,8.4329,2
65,2.4169,8.3656,2
66,2.3918,8.6841,2
67,2.5929,7.7651,2
68,2.2356,8.2743,2
69,2.5976,9.0832,2
70,2.3788,9.6753,2
71,2.3831,8.6183,2
72,2.7324,8.4923,2
73,2.0173,8.7018,2
75,2.8118,7.1934,2
76,1.8604,8.9104,2
77,2.5237,9.3818,2
78,2.0912,8.0467,2
79,1.6934,8.4709,2
80,2.2375,8.9808,2
81,1.894,8.7325,2
82,1.7335,9.3393,2
83,2.0973,8.9272,2
84,1.866,8.0564,2
85,1.8957,8.8203,2
86,2.1973,9.5554,2
87,2.4257,9.5597,2
88,2.0508,7.433,2
89,1.7435,8.993,2
90,2.2787,8.5969,2
91,1.8187,9.1825,2
92,2.2617,8.942,2
93,1.9408,8.8933,2
94,2.2627,7.6312,2
95,2.252,8.3745,2
96,1.8953,8.0496,2
97,2.0659,8.6348,2
98,1.6385,10.1772,2
99,2.0856,9.1877,2
100,1.8956,7.8657,2
101,1.9339,9.0702,2
102,2.1812,8.5717,2
103,2.2363,8.7754,2
104,2.5411,8.3402,2
105,2.2626,8.7653,2
106,1.8413,8.4607,2
107,2.1818,9.8123,2
108,1.8802,7.8282,2
109,1.994,8.7141,2
110,1.9333,8.526,2
111,2.8246,9.2441,2
112,1.9387,8.7325,2
113,1.9884,9.6649,2
114,1.7526,9.0354,2
115,1.5326,9.1375,2
116,2.1179,8.523,2
117,1.8309,8.8615,2
118,2.666,8.5108,2
119,1.5282,8.9548,2
120,2.3854,8.5158,2
121,2.6879,9.3294,2
122,1.3862,8.2391,2
123,1.6114,9.2991,2
124,2.1287,8.1764,2
125,1.6452,8.9312,2
126,1.6382,8.5349,2
127,1.6025,9.662,2
128,2.1511,8.5969,2
129,1.9925,9.2535,2
130,1.7313,9.3018,2
131,2.1551,9.4363,2
132,1.8344,8.6672,2
133,2.3142,8.4555,2
134,1.9648,8.304,2
135,1.8923,7.9999,2
136,1.8467,9.3038,2
137,2.0802,8.667,2
138,1.9333,8.7993,2
139,1.3956,9.3691,2
140,1.6691,8.5327,2
141,1.8994,8.1354,2
142,1.7919,9.4793,2
143,2.0042,8.1565,2
144,2.1644,8.5088,2
145,2.1478,9.6568,2
146,2.2866,8.7386,2
147,1.6283,8.6026,2
148,2.2664,8.3274,2
149,2.1235,9.0841,2
150,1.3162,9.3346,2
